,,,,,,,,,,
ただ君だけを、守りたいと願う　１章　スクリプト,,,,,,,,,,
No,キャラクター名,日本語,英語,中国語,LR,表情,Type,補足コメント,,背景画像名
39,guildy,愛や慈悲で飯は食えぬ！誰が貴様の明日を決めるのだ。,,,R,angry,talk,,25,
40,guildy,そうだ、紛れもない、貴様自身だ！見よ、愛に絆(ほだ)された者たちの姿を！,,,R,angry,talk,,36,
41,guildy,数多くのものが魔に落ちた。なんと嘆かわしい。彼らはいずれ我々、いや、貴様の血族に刃(やいば)を向けるであろう。,,,R,angry,talk,,55,
42,guildy,愛はいずれ憎しみにかわる。止めねばならぬ！我らが隣人共が魔に落ち切る前に！,,,R,angry,talk,,37,
43,eleth,ギルディの信者たちは皆、手に武器をとり、イルミアの信者とヴォルカスの仲間たちを殺し回りました。,,,R,normal,talk,,47,
44,eleth,多くの仲間を失ったヴォルカスは憤ります。,,,R,normal,talk,,20,
45,volcus,許さぬ、ギルディ。私の愛する仲間たちを...。,,,R,angry,talk,,23,
,,,,,,,,,0,
1,,,,,,,none,背景設定のため箇所,0,03_batle_field
2,eleth,憤怒に任せて剣を振るうヴォルカスはまさに一騎当千。一人で何千、何万もの敵の兵士を蹴散らしました。,,,R,normal,talk,,48,
3,eleth,そして、戦いの最中ふとあることに気ついたのです。,,,R,normal,talk,,24,
4,volcus,私が切り捨てた者たちは、誰なのだろうか。誰と共に暮らし、誰のために戦っているのだろうか。,,,R,cry,talk,,44,
5,eleth,ヴォルカスは逡巡します。しかし、聖戦は待ってはくれず、１日また１日と多くの人々の命が地に帰っていくのです。,,,R,normal,talk,,53,
6,eleth,三日三晩思い悩んだヴォルカスは、ふとイルミアに問いかけたのです。,,,R,normal,talk,,32,
7,volcus,イルミア様、私には愛がわからなくなりました。憎しみもわからなくなりました。イルミア様、愛とはなんなのでしょうか。,,,R,cry,talk,,56,
8,eleth,イルミアは静かに答えました。,,,R,normal,talk,,14,
9,eleth,私にもわかりません。ただ其方が愛を望むのであれば私は、私の愛を、其方に授けましょう。,,,R,normal,talk,,42,
10,eleth,イルミアの加護を受けたヴォルカスは敵を殺すでもなく、それぞれの国の間を真っ二つに割りました。,,,R,normal,talk,,46,
11,eleth,それが今に残る魔海溝となったのです。,,,R,normal,talk,,18,
12,,,,,,,none,転換のため背景切り替え,0,01_night_room
13,era,むにゃむにゃ。,,,L,unique,talk,,7,
14,eleth,クス、こんな本でも寝れるのね。あなたのママにそっくりね。,,,R,smile,talk,,28,
15,era,むにゃ...それで...ヴォルカスは...どうなっ...たの？？,,,L,unique,talk,,32,
16,eleth,ヴォルカスは、世界に溢れる争いの気を根こそぎ吸い取って、憎しみと破壊の神になりました。,,,R,normal,talk,,43,
17,eleth,その日、世界に魔王が誕生したのでした。,,,R,unique,talk,,19,
18,era,むにゃ...王様になったのね...ヴォルカス..よかった...ね。,,,L,unique,talk,,33,
19,,,,,,,none,転換のためのBGM(自然の中でゆったりと)/背景切り替え,0,006_ afternoon_town
20,,「１０年前、１０００年にもわたる人族と魔族の争いに決着がついた日。今日は、人魔終戦記念日。,,,,normal,talk,テキストのみ,45,
21,,人々は平和を歌い、勇敢を語り、発展を踊る。歌と踊りを肴に酒飲み語り合う。それが人魔終戦記念祭。,,,,normal,talk,テキストのみ,47,
22,,１０年で戦争の傷は言えず、人々は復興と貧しさに嘆きながら、それでも力強く生きようとしていた。,,,,normal,talk,テキストのみ,46,
23,volcus,あの日から今日で１０年。,,,L,cry,talk,※現状のcryの表情だとここの場面は泣きすぎな感じはしますが、ヴェルの感情的に一番近いのはcryだったのでcryにしています。以後も同じような場面があれば「落ち込み顔」と書きます。,12,
24,volcus,私は何をしたいのだろう...戦争に負け、最愛の者をなくし、してなお、何かと触れ合いたいとでも思っておるのか。,,,L,cry,talk,※落ち込み顔,54,
25,volcus,こうも...私は何を...,,,L,cry,talk,※落ち込み顔,13,
26,orend,お、どーも。あ、こっちも、まいど！サンキューなー！,,,R,smile,talk,背景切り替え,25,007_theater_company
27,volcus,・・・演劇か。このような田舎の町に。珍しい。,,,L,smile,talk,,22,
28,orend,ん？へい！そこのにいちゃん！,,,R,normal,talk,,14,
29,volcus,・・それにしても、騒がしい...,,,L,smile,talk,,16,
30,orend,おいおい！にいちゃん！・・・にいちゃーん！,,,R,normal,talk,,21,
31,volcus,・・・ふむ。私のことか？,,,L,smile,talk,,12,
32,orend,おぉ！やっと気づいたか。そうだよ、にいちゃん。なんかすごーい思い詰めた顔してるから気になってな！,,,R,smile,talk,,48,
33,volcus,そのような顔を、しておったか？,,,L,smile,talk,,15,
34,orend,そうよ！こんなに明るいおてんとさんと記念祭！なんてハッピーな日なんだ！,,,R,normal,talk,,35,
35,orend,...ってところに、すんげーブルーな顔して歩いてるから、ますます気になっちまったのかもな！,,,R,normal,talk,,45,
36,volcus,すまぬ。暗そうで。あいにくそういう性格なのでな。,,,L,smile,talk,,24,
37,orend,ほんとかー？祭りに誘ったガールにお断りされちまったんだろ？,,,R,smile,talk,,29,
38,volcus,・・・,,,L,confuse,talk,,3,
39,orend,わりいわりい！ソーリーソーリー。怒るなって。にいちゃん、名前はなんてんだ！,,,R,normal,talk,,37,
40,volcus,・・・なぜ言わねばならん。,,,L,angry,talk,,13,
41,orend,いいじゃねーか！何かのよしみだ！な！俺は役者のオレンド、よろしく。,,,R,normal,talk,,33,
42,volcus,・・・ヴェルという。旅人だ。,,,L,smile,talk,,14,
43,orend,おぉー！クールな名前じゃねーか！ヴェルー！,,,R,smile,talk,,21,
44,volcus,やめろ、絡むな。,,,L,confuse,talk,,8,
45,orend,んー。なんか、ヴェルとは初めて会った気がしないんだよなぁ！はっはっは！,,,R,smile,talk,,35,
46,volcus,私は全く思わん...。冷やかしだけなら私はお暇させてもらうぞ。,,,L,confuse,talk,,31,
47,orend,おお、おいおいおい、そんな冷たいこと言うなよ！演劇、見てってくれよー！,,,R,smile,talk,,35,
48,volcus,・・・演目はなんだ。,,,L,smile,talk,,10,
49,orend,うちの劇団の新作！「魔城(まじょう)の姫君！」魔王に恋した姫様の話さ！,,,R,normal,talk,,35,
50,volcus,断る。,,,L,confuse,talk,,3,
51,orend,即答！あ！おいおい！待てよヴェールー。,,,R,cry,talk,,19,
52,volcus,・・・すまぬが興味がない。,,,L,smile,talk,,13,
53,orend,ゔぇえええるうう（縋り付く）,,,R,cry,talk,,14,
54,volcus,・・・,,,L,confuse,talk,,3,
55,orend,ゔぇえええぇえぇぇえるうううう,,,R,confuse,talk,,15,
56,volcus,わかった、わかった。わかったわかった。見る、見るので離れろ。,,,L,confuse,talk,,30,
57,orend,おおし、そうこなくちゃ。いいやつだなぁヴェルは。一名様ごあんなーい！,,,R,smile,talk,,34,
58,volcus,・・・はぁ...,,,L,confuse,talk,,8,
59,orend,はっはっは！不貞腐れんなって！幸せが逃げてくぞー！ノーノーアンハッピーアンハッピー。,,,R,smile,talk,,42,
60,orend,楽しい楽しい演劇の世界へいってらっしゃーい。,,,R,normal,talk,,22,
61,,,,,,,none,転換のための空白/背景切り替え,0,008_during_ theplay
62,silhouette_woman,おぉ！魔王様、私も戦へ連れて行ってくださいませ！あなたの元を離れたくありません！,,,R,angry,talk,,40,
63,silhouette_man,ならぬ。我が君よ、我はそなたが戦火に伏せる姿を。。。我とて、負けぬとは限らないのだ。,,,L,angry,talk,,42,
64,silhouette_woman,されど！私は人間であります。ここは魔が跋扈する地にあって、いつこのか弱き命が散るともわかりません。,,,R,angry,talk,,49,
65,silhouette_woman,お願いですから、あなたの側にいさせてください！,,,R,angry,talk,,23,
66,silhouette_man,っく...,,,L,angry,talk,,5,
67,silhouette_woman,魔王様！魔王様！,,,R,angry,talk,,8,
68,,,,,,,none,場面の転換,0,
69,silhouette_man,・・・近衛よ。,,,L,angry,talk,,7,
70,silhouette_woman,主よ、及びでしょうか,,,R,angry,talk,,10,
71,silhouette_man,ふむ。姫のことを頼む。城内には姫のことをよく思わぬ者もおる...。容易でない仕事ゆえ、そなたにしか任せられぬ。,,,L,angry,talk,,55,
72,silhouette_woman,ありがたきお言葉。身命を賭してお使えいたします。,,,R,angry,talk,,24,
,,,,,,,,,0,
1,,,,,,,none,場面の転換,0,
2,silhouette_woman,姫様！おやめください！,,,L,angry,talk,,11,
3,silhouette_woman,離して！魔王様が亡くなったのに、この私が生きていることなんて許されない！,,,R,angry,talk,,36,
4,silhouette_woman,かようなことはありませぬ！姫様は人の身です！人の世が訪れれば、姫様を蔑む魔はすでにおりませぬ！,,,L,angry,talk,,47,
5,silhouette_woman,人でありながら魔の王を愛したこの身を、死の贖罪なしに人々が許しましょうか！,,,R,angry,talk,,37,
6,silhouette_woman,なりません！お気を確かに、たとえ人が許さずとも、私が一生かけてお守りいたします。,,,L,angry,talk,,40,
7,silhouette_woman,なれば！私をここで見放し、私に縛らるのではなく！そなたの自由を！いずれ戦火もおさまるでしょう。,,,R,angry,talk,,47,
8,silhouette_woman,そして魔王なき平和な世を。,,,R,angry,talk,,13,
9,silhouette_woman,姫様！,,,L,angry,talk,,3,
10,silhouette_woman,（しくしくと泣き続けて）,,,R,angry,talk,,12,
11,silhouette_woman,そうまでお気を病まれてはお腹の子にさわります。どうか、私がおりますから、どうか...,,,L,angry,talk,,42,
12,orend,そうして魔王なきあと、平和となった世を従者と共に見て歩いているそうな。彼女たちに敵意はない。,,,L,angry,talk,,46,
13,orend,今こそ剣を納め、我々は次の時代へと踏み出さねばならぬ。,,,L,angry,talk,,27,
14,orend,皆様もいつか魔王の子と出会ったとして、争いの火をくべることなきよう。,,,L,angry,talk,,34,
15,orend,魔王の子もまた、我々と同じ平和の世に生まれた命なのだから！,,,L,angry,talk,,29,
16,,,,,,,none,場面の転換/背景の切り替え,0,007_theater_company
17,volcus,・・・ふむ...。,,,L,smile,talk,,9,
18,orend,はーい！おかえりなさーい！ありがとー！サンキューなー！え？そんな！ちっちゃな劇団ですよ。あっはっは！,,,R,smile,talk,,50,
19,orend,あ！お次の方もおかえりー！サンキューなー！え？握手！照れちゃうなあ！,,,R,smile,talk,,34,
20,volcus,ふむ。オレンドか...。,,,L,smile,talk,,12,
21,orend,おやー？ヴェールー！おかえりなさい！サンキューなー！,,,R,smile,talk,,26,
22,volcus,なんだその、おかえりなさい、というのは。,,,L,smile,talk,,20,
23,orend,演劇の世界からおかえりなさい！って意味さ！・・・ちょっと芝居がかりすぎかね！,,,R,normal,talk,,38,
24,volcus,ふむ。そのようなことはないと思うが,,,L,smile,talk,,17,
25,orend,おぉ、おぉ。サンキューな。・・・おや？ヴェル！泣いてるのかい！そんなに感動しちゃったのかい！？,,,R,smile,talk,,47,
26,volcus,・・・私が？泣く？...,,,L,cry,talk,,12,
27,orend,お？生まれて初めて泣いたみたいなリアクションだな！,,,R,smile,talk,,25,
28,volcus,いや...私の涙は尽きたかと思っていたが...,,,L,cry,talk,,23,
29,orend,はっはっは！なんだあ！変なヴェルだな！いやー、なんかそうまで感動してもらえるとは、なんか、俺まで...,,,R,cry,talk,,51,
30,volcus,茶化すな。くだらん芝居はやめろ。,,,L,confuse,talk,,16,
31,orend,はっはっは！バレた？,,,R,smile,talk,,10,
32,volcus,・・・オレンド、私はお前を気に入った。褒美として一つだけ、感想を述べてやろう,,,L,smile,talk,,38,
33,orend,およ！変わり者のヴェルくんから感想なんて！ぎぶぎぶ！聞いちゃうぜえ。,,,R,smile,talk,,34,
34,volcus,死んだのは魔王ではなく、姫の方だ。,,,L,normal,talk,※ノーマルのイラストの口角が下がったヴァージョンgあるならそちらがいいと思います。以下同様の場面を「口角下がり顔」とここに書きます。,17,
35,orend,・・・へぇ。,,,R,normal,talk,,6,
36,volcus,以上だ。,,,L,smile,talk,,4,
37,orend,・・・なあ！ヴェルは半魔だろ？,,,R,normal,talk,,15,
38,volcus,・・・そうだ。,,,L,smile,talk,※ノーマルにしていますが、少し驚いたような表情があればそちらがいいと思います。以後そのようないい場面には「驚き顔」と書きます。,7,
39,orend,俺もそうなんだ。,,,R,normal,talk,,8,
40,volcus,・・・なぜわかった。全て魔力は封じているはずだが。,,,L,normal,talk,※口角下がり顔,25,
41,orend,いや！俺魔力全くないから、正直人間と魔族の区別は見た目くらいでしかわかんねぇ...！けど,,,R,normal,talk,,44,
42,volcus,・・・けど？,,,L,normal,talk,※口角下がり顔,6,
43,orend,なんか、そんな気がしたんだ！はっはっは！運命の出会いってやつかもなー！,,,R,smile,talk,,35,
44,volcus,・・・ふむ、くだらん。私はもういく。後ろが詰まっておるからな。,,,L,smile,talk,,31,
45,orend,おぉ！わりい、んじゃ！またどこかで見かけたら、また劇を見に来てくれよ！俺達も旅芸人だからさ、どこかでな！,,,R,smile,talk,,52,
46,volcus,・・・その時は、新作を楽しみしている。,,,L,smile,talk,,19,
47,orend,おおよ！そんじゃー、サンキューなー！,,,R,smile,talk,,18,
48,volcus,私は歩き始め、その場からはなれた。後ろから奴のこぎみ良い声が聞こえてくる。なんとも変わった男だ。,,,L,smile,talk,,48,
49,orend,おかえりなさーい！サンキューなー！え？ハグ？それはダメだぜマダム！有料なのさぁ！,,,R,normal,talk,,40,
50,orend,でも今日は気分がいいからタダにしちゃうぜぇ！はっはっは！お次の方もおかえりなさーい！サンキューなー！,,,R,normal,talk,,50,
51,,,,,,,none,場面転換/背景切り替え,0,011_evening_town
52,volcus,・・・ロクシー。物語のように、私ではなく、もし君がこの道を歩いていたら、どう思うだろうか。,,,L,normal,talk,※口角下がり顔,45,
53,volcus,あの時、君の願いを聞いて戦場に連れていれば、まだ君は生きて私の横にいたのだろうか。,,,L,normal,talk,※口角下がり顔,41,
54,volcus,私がおらぬ魔王城で、君は何を考えて、何を願っていたのだろうか。,,,L,normal,talk,※口角下がり顔,31,
55,eleth,イーラや、せっかくのお祭りなんだから、もう少しみんなと遊んできたらどうさね。,,,R,normal,talk,出来れば声だけ,38,
56,era,いや！みんな私と一緒にいたって、つまんないもん！,,,L,angry,talk,出来れば声だけ,24,
57,eleth,あらあら。そう怒らんと。みんなだって悪気があったわけじゃないんだから。,,,R,confuse,talk,出来れば声だけ,35,
58,volcus,あの日から私の心は死に、付き従う仲間の声に奮い立つこともできず。ただ我が軍が負けていく様を他人事のように眺めておった。,,,R,normal,talk,※口角下がり顔,59,
59,volcus,私までも亡者のようになり、ただ君の亡骸を眺め、気づけばあっという間に骨だけになった。,,,R,normal,talk,※口角下がり顔,42,
60,volcus,その間に世の中は様変わりし、今やどこを見ても人しかおらぬ。,,,R,normal,talk,※口角下がり顔,29,
61,era,じゃあばあばはどう思うの！？私のこの服！,,,L,smile,talk,,20,
62,eleth,ばあばは可愛いと思う。けどもね。,,,R,normal,talk,,16,
63,era,じゃあいいの！ばあばが可愛いって言ってくれるなら！,,,L,smile,talk,,25,
64,era,真っ黒でなんかしみっぽーい、なんて！みんなの方がずっと可愛くないもん！,,,L,smile,talk,,35,
65,eleth,あ、これ。,,,R,normal,talk,,5,
66,era,いいんだもーん！みんなとなんか遊ばなー,,,L,smile,talk,,19,
67,era,わっ！,,,L,confuse,talk,※驚き顔,3,
68,volcus,ん？,,,R,smile,talk,,2,
69,eleth,おぉ、すみません。前も見ずに,,,L,normal,talk,※驚き顔,14,
70,era,いたた...,,,L,confuse,talk,,6,
71,volcus,気にするな。子供は元気な方がよい。すまぬ、避けることができなかった。,,,R,smile,talk,,34,
72,era,？？・・・こ、こちらこそごめんなさい。,,,L,normal,talk,,19,
73,volcus,素直で良い子だ。怪我がなさそうでよかった。,,,R,smile,talk,,21,
74,volcus,では、これで。,,,R,smile,talk,,7,
75,,ぼんやりとまた劇のことを考えながら歩くヴェル。背中から二人の声が聞こえる,,,,,,,36,
76,era,・・・変なおじさん。,,,L,angry,talk,,10,
77,eleth,これ、イーラが前を見ないで飛び出したからでしょう。,,,R,normal,talk,,25,
78,era,てへへ、優しい人でよかったね。,,,L,smile,talk,,15,
79,,,,,,,none,場面転換,0,
80,volcus,まったく、街の者は相変わらず賑やかだな。いつまで呑み騒ぐつもりだ。,,,L,smile,talk,,33,
81,volcus,だいぶ中心から離れていると思うが、どこもかしこもお祭り騒ぎだな。,,,L,smile,talk,,32,
82,volcus,ん...？魔族の血の匂い...と、付近に人間の気を感じる...？何事かはわからぬが、放ってはおけぬ。,,,L,normal,talk,※口角下がり顔,50,
83,silhouette_man,貴様、脱走した魔族奴隷がどのような目に遭うのか、わかっているのか。,,,R,unique,talk,,33,
84,volcus,街の貴族兵と、奴隷か...。,,,L,normal,talk,※口角下がり顔,14,
85,silhouette_man,・・・死んだか？まぁいい。主人より生き死には問わぬと言われておる。そのうち野垂れ死ぬだろう。,,,R,unique,talk,,46,
86,silhouette_man,人目のつかない路地にでも放っておけ！主人には死んだと報告しておく！,,,R,unique,talk,※口角下がり顔,33,
87,volcus,・・・,,,L,smile,talk,,3,
88,silhouette_man,さて、帰るぞ！見回りの続きだ！,,,R,unique,talk,,15,
,,,,,,,,,0,
1,,,,,,,none,場面転換/BGM切り替え(あたたかな灯火の中で),0,
2,volcus,行ったか。まだ息があるようだが...治療なしでは死ぬな。,,,L,normal,talk,※口角下がり顔,28,
3,volcus,大丈夫か...。気を失っているか。,,,L,normal,talk,※口角下がり顔,17,
4,volcus,魔法を使うのはまずいか。魔族だと気付かれてしまう。とすれば、蘇生の魔法陣か。暖かく、風のない場所があれば...。,,,L,normal,talk,※口角下がり顔,56,
5,volcus,ふむ。とりあえず運ぶか。,,,L,normal,talk,※口角下がり顔,12,
6,volcus,よっと。すぐ良くしてやるから。死ぬな。,,,L,normal,talk,※口角下がり顔,19,
7,volcus,しかし、おかしい。この奥は建物はあるが、人気が全くないな...。今は...ちょうどよいか。,,,L,normal,talk,※口角下がり顔,45,
8,,,,,,,none,背景転換(若干扉が重厚すぎるので変えるかも),0,012_treatment_plase
9,volcus,少し下ろすぞ。よっ...悪いな。今そこの家のものに一晩匿ってもらえぬか聞いてこよう。,,,L,normal,talk,※口角下がり顔,42,
10,,,,,,,none,SEノック音,0,
11,volcus,不在か...？,,,L,normal,talk,※口角下がり顔,7,
12,,,,,,,none,SEノック音,0,
13,eleth,はいはい、こんな時間にどちら様ですかねえ...？あら。あなたは...。,,,R,confuse,talk,,35,
14,volcus,夕刻に突然にすま、ぬ...昼間のご婦人。,,,L,normal,talk,※口角下がり顔,20,
15,eleth,とんでもございません。何か落とし物でもされましたかね。,,,R,confuse,talk,,27,
16,volcus,いや、不躾なお願いだが、一晩だけ泊めてはもらえぬか。,,,L,normal,talk,※口角下がり顔,26,
17,volcus,そこで傷ついた魔族を見つけた。治療をしたいので暖かい部屋を探しておった。,,,L,normal,talk,※口角下がり顔,36,
18,eleth,（そっと家を出て傷ついた魔族を見つける）おやまあ、これは大変。どうぞどうぞ。古い家ですが、使ってくださいな。,,,R,smile,talk,,54,
19,volcus,・・・断らぬのか。魔族というのに。,,,L,normal,talk,※口角下がり顔,17,
20,eleth,・・・人も魔族も、命ある仲間だと、私は思っています。ある人から引き継いだ心だけれどね。,,,R,normal,talk,,43,
21,volcus,そうか。慈しみある婦人よ。そなたと、その人に感謝する。,,,L,normal,talk,※口角下がり顔,27,
22,eleth,クス、大袈裟な方さね。どうぞ、気をつけて。,,,R,smile,talk,,21,
23,,,,,,,none,ゴソゴソ音,0,
24,volcus,婦人よ、汚してよい人が寝れるほどの布はあるか。,,,L,normal,talk,※口角下がり顔/背景変更,23,005_era's_ house
25,eleth,ええ。こちらに。こんな古いシーツでよろしければ。,,,R,normal,talk,,24,
26,volcus,十分だ。,,,L,normal,talk,※口角下がり顔,4,
27,eleth,他にいるものはありますかね。,,,R,normal,talk,,14,
28,volcus,ない。私の血で十分だ。（指を噛んで傷をつける）,,,L,normal,talk,ガリのSE ※口角下がり顔,23,
29,eleth,・・・,,,R,normal,talk,SE魔方陣を書く音,3,
30,volcus,久しぶりに書くな...確か、蘇生の魔法陣はこうだったか...。,,,L,smile,talk,,31,
31,eleth,・・・,,,R,normal,talk,※口角下がり顔,3,
32,volcus,何をじっと見ておる。やはり珍しいか。,,,L,smile,talk,,18,
33,eleth,いえね。昔同じようなことをよくやっている者が近くにおったもので。,,,R,normal,talk,※口角下がり顔,32,
34,volcus,ふむ。珍しいな。魔法陣は古の時代のものだが。博識なものと親密だったのだな。,,,L,smile,talk,,37,
35,volcus,いや。物好きというべきか...。よし。できた。,,,L,smile,talk,,23,
36,eleth,・・・,,,R,normal,talk,※口角下がり顔,3,
37,volcus,万物を愛す神よ　我が名は　ヴォルカス　ディアブロ　ローイ　,,,L,smile,talk,,29,
38,volcus,今ここで貴方との契(ちぎ)りに反き　母なる大地に眠る命の芽をかの者に与えることをお許しください。,,,L,normal,talk,※口角下がり顔,48,
39,volcus,しからば、私は貴方様のことを永遠(とわ)に尊ぶでしょう。,,,L,smile,talk,,28,
40,volcus,"What a Friend we have in Jesus, What a Friend we have in Jesus.",,,L,smile,talk,,63,
41,volcus,・・・ふむ。久々だったが、成功したようだ。,,,L,normal,talk,※口角下がり顔,21,
42,eleth,それはそれは。一安心なのね。,,,R,smile,talk,,14,
43,volcus,そうだ。明日には、痛みは残るが一人で歩けるだろう。,,,L,normal,talk,※口角下がり顔,25,
44,eleth,では、貴方様も一息ついてはいかがですか。コーヒーでも入れましょうか。,,,R,normal,talk,,34,
45,volcus,ふむ...いただこう。,,,L,normal,talk,※口角下がり顔,11,
46,,,,,,,none,ドアが開く音(お風呂),0,
47,era,ばあば！お風呂あがったよー！,,,L,normal,talk,,14,
48,eleth,まぁイーラや！,,,R,smile,talk,,7,
49,volcus,・・・,,,R,smile,talk,,3,
50,era,い！？なんで昼間のおじさんがいるのよ！ここ私の家よ！,,,L,angry,talk,,26,
51,volcus,勝手に上がってすまぬ。謝ろう。,,,R,smile,talk,,15,
52,eleth,すみませんねぇ。お昼に続いてお見苦しいところを...こら、イーラやお風呂場で服を着なさいといつも言っているでしょう。,,,L,normal,talk,,58,
53,era,い！そ、そうだった！...ね、狙ったでしょう！この変態！このぉ！,,,L,angry,talk,,32,
54,eleth,これこれ、早く服をきなさい。,,,L,normal,talk,,14,
55,volcus,・・・ふむ。すまぬ。,,,R,smile,talk,,10,
56,,,,,,,none,音、SE等の転換/背景切り替え,0,01_night_room
57,era,へぇー！これおじちゃんがやったの！ねえ！,,,L,smile,talk,,20,
58,volcus,そうだ。,,,R,smile,talk,,4,
59,era,すごい！ねえこれ、古代魔法なんでしょ！,,,L,smile,talk,,19,
60,volcus,そうだ。,,,R,smile,talk,,4,
61,era,なんでおじちゃんはこんな凄いの知ってるの！,,,L,smile,talk,,21,
62,volcus,長生きしてるからな。,,,R,smile,talk,,10,
63,era,そうなの？友達のパパと同じくらいなのに？,,,L,smile,talk,,20,
64,volcus,そうだ。,,,R,normal,talk,※口角下がり顔,4,
65,era,へぇー...。変なのー..。,,,L,normal,talk,※疑問顔,14,
66,eleth,イーラや、そんなに騒いだら寝ている方が起きてしまうじゃないの。...遅くなりましたね、どうぞ,,,L,normal,talk,？さないの　は誤植？,46,
67,volcus,うむ。すまぬ。,,,R,smile,talk,,7,
68,era,ねえ、こっちのおじさんは魔族なの？,,,L,normal,talk,※疑問顔,17,
69,volcus,ん？そうだ...。ずずず,,,L,smile,talk,,12,
70,era,へぇ〜。私たちとそんなに変わらないのね。,,,L,normal,talk,,20,
71,volcus,うむ。婦人よ、よき味である。,,,R,smile,talk,,14,
72,eleth,お口に会いましたか。そういえば...私はエリスです。,,,L,normal,talk,,26,
73,volcus,ん？そうか、紹介がまだであったか。私はヴェルという。,,,R,smile,talk,,26,
74,eleth,ヴェル様ですか。こちらの子は...,,,L,normal,talk,,17,
75,era,へぇ〜魔法陣ってこうなってるのね...,,,L,normal,talk,,19,
